$1000 Damage to Any One Person's Property,Active School Zone Flag,At Intersection Flag,Average Daily Traffic Amount,Construction Zone Flag,Crash Severity,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Intersection Related,Roadway Part,Speed Limit,Surface Condition,Traffic Control Type,Person Helmet
No,No,TRUE,No Data,No,Not Injured,2056,0,2016,Friday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,2234,1,2016,Monday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1936,1,2016,Thursday,Intersection,Main/Proper Lane,-1,Dry,Center Stripe/Divider,"Worn, Damaged"
Yes,No,TRUE,68363,No,Non-Incapacitating Injury,1937,2,2016,Thursday,Intersection,Service/Frontage Road,-1,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,10943,No,Incapacitating Injury,1949,1,2016,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Not Injured,1108,0,2016,Sunday,Non Intersection,Service/Frontage Road,50,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1552,1,2016,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,646,1,2016,Friday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,148494,No,Possible Injury,1652,1,2016,Friday,Intersection,Service/Frontage Road,35,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1253,1,2016,Tuesday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1354,1,2016,Wednesday,Intersection Related,Service/Frontage Road,35,Wet,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,741,1,2016,Thursday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1706,1,2016,Saturday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,105589,No,Possible Injury,204,1,2016,Saturday,Intersection,Service/Frontage Road,45,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Not Injured,756,0,2016,Monday,Non Intersection,Other (Explain In Narrative),-1,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1910,1,2016,Monday,Intersection Related,Main/Proper Lane,55,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,1441,1,2016,Wednesday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1120,1,2016,Saturday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,607,1,2016,Monday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1300,1,2016,Tuesday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,900,1,2016,Thursday,Driveway Access,Main/Proper Lane,45,Dry,Bike Lane,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,628,1,2016,Friday,Driveway Access,Main/Proper Lane,40,Dry,Bike Lane,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,1412,1,2016,Saturday,Intersection,Main/Proper Lane,45,Wet,Bike Lane,"Worn, Not Damaged"
No,No,TRUE,87161,No,Non-Incapacitating Injury,621,1,2016,Tuesday,Intersection Related,Service/Frontage Road,45,Dry,Crosswalk,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2034,1,2016,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Not Injured,2015,0,2016,Tuesday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1027,1,2016,Wednesday,Driveway Access,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,113017,No,Incapacitating Injury,1628,1,2016,Wednesday,Driveway Access,Service/Frontage Road,-1,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1957,1,2016,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Incapacitating Injury,1830,1,2016,Thursday,Non Intersection,Main/Proper Lane,-1,Dry,None,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1725,1,2016,Friday,Driveway Access,Main/Proper Lane,-1,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1633,1,2016,Tuesday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Possible Injury,1345,1,2016,Tuesday,Intersection,Main/Proper Lane,30,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,2013,1,2016,Wednesday,Non Intersection,Main/Proper Lane,45,Dry,Bike Lane,Not Worn
No,No,TRUE,No Data,No,Possible Injury,10,1,2016,Friday,Intersection Related,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1833,1,2016,Friday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Not Damaged"
No,No,FALSE,25921,No,Possible Injury,1130,1,2016,Saturday,Driveway Access,Other (Explain In Narrative),35,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1625,2,2016,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1625,2,2016,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1625,2,2016,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,32,3,2016,Monday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,32,3,2016,Monday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,32,3,2016,Monday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,116,1,2016,Monday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light With Red Light Running Camera,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,58,1,2016,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1742,1,2016,Wednesday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,857,1,2016,Thursday,Intersection Related,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2007,1,2016,Thursday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2216,1,2016,Saturday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1627,1,2016,Sunday,Driveway Access,Main/Proper Lane,-1,Dry,Bike Lane,"Worn, Damaged"
No,No,TRUE,No Data,No,Incapacitating Injury,2047,1,2016,Sunday,Intersection,Main/Proper Lane,-1,Unknown,None,Not Worn
No,No,FALSE,33647,No,Non-Incapacitating Injury,738,1,2016,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2048,1,2016,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Damaged"
No,No,FALSE,179906,No,Possible Injury,1250,1,2016,Friday,Intersection Related,Service/Frontage Road,10,Dry,Other (Explain In Narrative),Not Worn
No,No,TRUE,No Data,No,Possible Injury,1805,1,2016,Saturday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1754,1,2016,Saturday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1251,1,2016,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,825,1,2016,Wednesday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1753,1,2016,Wednesday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,26658,No,Non-Incapacitating Injury,859,1,2016,Wednesday,Intersection Related,Other (Explain In Narrative),30,Dry,Crosswalk,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2300,1,2016,Friday,Non Intersection,Main/Proper Lane,40,Unknown,Marked Lanes,Unknown If Worn
No,No,TRUE,125081,No,Non-Incapacitating Injury,1642,1,2016,Monday,Intersection Related,Main/Proper Lane,35,Dry,Crosswalk,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,618,1,2016,Tuesday,Intersection Related,Main/Proper Lane,40,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,FALSE,33647,No,Possible Injury,728,1,2016,Tuesday,Driveway Access,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1615,1,2016,Tuesday,Intersection,Main/Proper Lane,30,Dry,Center Stripe/Divider,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1550,1,2016,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,FALSE,197636,No,Non-Incapacitating Injury,2035,1,2016,Thursday,Intersection Related,Service/Frontage Road,50,Dry,Signal Light,Not Worn
No,No,TRUE,34215,No,Non-Incapacitating Injury,1356,1,2016,Thursday,Intersection,Main/Proper Lane,35,Dry,Bike Lane,Unknown If Worn
No,No,TRUE,26658,No,Possible Injury,735,1,2016,Friday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1002,1,2016,Saturday,Intersection,Main/Proper Lane,50,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1314,1,2016,Monday,Driveway Access,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1658,1,2016,Monday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1812,1,2016,Tuesday,Intersection,Main/Proper Lane,40,Dry,None,"Worn, Unk Damage"
No,No,TRUE,38439,No,Non-Incapacitating Injury,1412,1,2016,Tuesday,Intersection,Service/Frontage Road,45,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Possible Injury,1613,1,2016,Tuesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Incapacitating Injury,635,1,2016,Wednesday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Not Injured,937,0,2016,Thursday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,Not Worn
No,No,TRUE,68363,No,Non-Incapacitating Injury,1615,1,2016,Thursday,Intersection Related,Service/Frontage Road,55,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1537,1,2016,Thursday,Driveway Access,Main/Proper Lane,-1,Dry,Bike Lane,"Worn, Damaged"
Yes,No,FALSE,34215,Yes,Non-Incapacitating Injury,1756,1,2016,Thursday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2219,1,2016,Friday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,TRUE,148494,No,Non-Incapacitating Injury,2301,1,2016,Friday,Intersection Related,Service/Frontage Road,45,Dry,Crosswalk,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1657,1,2016,Saturday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2122,1,2016,Sunday,Intersection,Main/Proper Lane,30,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Possible Injury,245,1,2016,Sunday,Non Intersection,Main/Proper Lane,40,Dry,Marked Lanes,Unknown If Worn
Yes,No,FALSE,148494,No,Possible Injury,1631,1,2016,Monday,Intersection Related,Service/Frontage Road,55,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1734,1,2016,Tuesday,Non Intersection,Main/Proper Lane,-1,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1152,1,2016,Wednesday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,"Worn, Damaged"
No,No,TRUE,No Data,No,Possible Injury,1801,1,2016,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,705,1,2016,Friday,Driveway Access,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1331,1,2016,Saturday,Non Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Incapacitating Injury,926,1,2016,Sunday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1000,1,2016,Monday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1616,1,2016,Monday,Intersection Related,Main/Proper Lane,35,Dry,Yield Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,853,1,2016,Tuesday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Damaged"
No,No,FALSE,34215,No,Possible Injury,1339,1,2016,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1720,1,2016,Thursday,Intersection,Main/Proper Lane,-1,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1103,1,2016,Friday,Non Intersection,Other (Explain In Narrative),45,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1742,1,2016,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1950,1,2016,Friday,Intersection,Main/Proper Lane,-1,Dry,Signal Light With Red Light Running Camera,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,100,1,2016,Friday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1748,1,2016,Wednesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,34215,No,Non-Incapacitating Injury,1615,1,2016,Wednesday,Driveway Access,Main/Proper Lane,45,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Not Injured,2212,0,2016,Saturday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,154266,No,Non-Incapacitating Injury,1138,1,2016,Sunday,Intersection Related,Service/Frontage Road,45,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1733,1,2016,Monday,Non Intersection,Other (Explain In Narrative),5,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1452,1,2016,Tuesday,Intersection,Main/Proper Lane,55,Dry,Signal Light,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,916,1,2016,Thursday,Intersection,Main/Proper Lane,35,Dry,Yield Sign,"Worn, Not Damaged"
Yes,No,FALSE,46918,No,Killed,720,0,2016,Saturday,Non Intersection,Service/Frontage Road,-1,Wet,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1858,1,2016,Tuesday,Non Intersection,Main/Proper Lane,40,Wet,Center Stripe/Divider,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1821,1,2016,Tuesday,Driveway Access,Main/Proper Lane,40,Dry,Bike Lane,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1926,1,2016,Wednesday,Intersection,Main/Proper Lane,30,Wet,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,2130,1,2016,Thursday,Non Intersection,Main/Proper Lane,-1,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1737,1,2016,Monday,Driveway Access,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1836,1,2016,Tuesday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Unknown If Worn
Yes,No,FALSE,No Data,No,Possible Injury,1257,1,2016,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Bike Lane,Not Worn
No,No,FALSE,49720,No,Non-Incapacitating Injury,734,1,2016,Wednesday,Driveway Access,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,50813,No,Possible Injury,1158,1,2016,Friday,Intersection Related,Main/Proper Lane,50,Dry,Signal Light With Red Light Running Camera,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1119,1,2016,Saturday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,728,1,2016,Monday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1637,1,2016,Wednesday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,"Worn, Damaged"
No,No,TRUE,No Data,No,Possible Injury,1651,1,2016,Monday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Not Injured,731,0,2016,Tuesday,Non Intersection,Main/Proper Lane,-1,Dry,None,Unknown If Worn
Yes,No,TRUE,46918,No,Non-Incapacitating Injury,1540,1,2016,Tuesday,Intersection Related,Main/Proper Lane,40,Dry,Center Stripe/Divider,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1633,1,2016,Tuesday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1915,1,2016,Tuesday,Driveway Access,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1809,1,2016,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Crosswalk,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1008,1,2016,Saturday,Intersection Related,Main/Proper Lane,35,Wet,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,1800,1,2016,Saturday,Intersection Related,Main/Proper Lane,25,Wet,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,834,1,2016,Thursday,Driveway Access,Main/Proper Lane,35,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1519,1,2016,Thursday,Intersection Related,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,1935,2,2016,Friday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1652,1,2016,Saturday,Non Intersection,Other (Explain In Narrative),-1,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1649,1,2016,Wednesday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2145,1,2016,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1928,1,2016,Wednesday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Not Injured,1555,0,2016,Thursday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Incapacitating Injury,1315,1,2016,Saturday,Non Intersection,Main/Proper Lane,45,Dry,None,"Worn, Damaged"
Yes,No,TRUE,118676,No,Killed,1531,1,2017,Sunday,Non Intersection,Service/Frontage Road,55,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Incapacitating Injury,1330,1,2017,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1613,1,2017,Wednesday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1706,1,2017,Thursday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1706,1,2017,Friday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1410,1,2017,Friday,Intersection Related,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,844,1,2017,Saturday,Intersection Related,Main/Proper Lane,30,Wet,Marked Lanes,Not Worn
No,No,FALSE,22613,No,Possible Injury,829,1,2017,Tuesday,Driveway Access,Main/Proper Lane,35,Wet,None,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1921,3,2017,Friday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1921,3,2017,Friday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1921,3,2017,Friday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1626,1,2017,Saturday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,2103,1,2017,Sunday,Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1653,1,2017,Sunday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Possible Injury,922,1,2017,Tuesday,Intersection,Main/Proper Lane,40,Dry,Bike Lane,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Possible Injury,1753,1,2017,Tuesday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Incapacitating Injury,844,1,2017,Wednesday,Driveway Access,Main/Proper Lane,35,Dry,Center Stripe/Divider,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1836,1,2017,Thursday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Unk Damage"
No,No,FALSE,25507,No,Non-Incapacitating Injury,2133,1,2017,Thursday,Driveway Access,Main/Proper Lane,45,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1139,1,2017,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light With Red Light Running Camera,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,955,1,2017,Monday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1000,1,2017,Monday,Driveway Access,Main/Proper Lane,30,Dry,None,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1646,1,2017,Monday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,TRUE,52925,No,Non-Incapacitating Injury,1630,1,2017,Monday,Intersection,Main/Proper Lane,-1,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,1905,1,2017,Thursday,Driveway Access,Main/Proper Lane,45,Dry,Bike Lane,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,630,1,2017,Sunday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Not Injured,1707,0,2017,Monday,Driveway Access,Main/Proper Lane,45,Dry,Bike Lane,Not Worn
Yes,No,TRUE,No Data,No,Possible Injury,1745,1,2017,Saturday,Intersection Related,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,2331,1,2017,Monday,Non Intersection,Main/Proper Lane,30,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,923,1,2017,Tuesday,Driveway Access,Main/Proper Lane,35,Wet,Bike Lane,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1847,1,2017,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1029,1,2017,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Unknown If Worn
No,No,FALSE,21351,No,Possible Injury,1445,1,2017,Wednesday,Intersection Related,Main/Proper Lane,35,Dry,Crosswalk,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Possible Injury,1108,2,2017,Saturday,Driveway Access,Main/Proper Lane,45,Dry,None,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Possible Injury,1043,1,2017,Saturday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,854,1,2017,Sunday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,153,1,2017,Sunday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1756,1,2017,Monday,Driveway Access,Main/Proper Lane,-1,Dry,Bike Lane,"Worn, Unk Damage"
Yes,No,TRUE,No Data,No,Possible Injury,1849,1,2017,Tuesday,Intersection,Main/Proper Lane,30,Dry,Signal Light With Red Light Running Camera,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,902,1,2017,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,None,"Worn, Unk Damage"
No,No,FALSE,125081,No,Not Injured,1524,0,2017,Wednesday,Driveway Access,Service/Frontage Road,-1,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1701,1,2017,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
